,Job_Title,Company,Location,joblink_URL
11,Data Scientist,Oracle,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=111&ao=1136043&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&cs=1_d72fd2f2&cb=1650272482475&jobListingId=1007767650965&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-acde44d5fdcb6d0b-
12,Clinical Data Management Scientist,Accenture,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=112&ao=1136043&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&cs=1_24343bc6&cb=1650272482475&jobListingId=1007787775207&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-c05e976d861b10f1-
13,Data Scientist,HP,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=113&ao=1136043&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&cs=1_e1d8ade9&cb=1650272482475&jobListingId=1007779001925&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-cbfc50495c3eea53-
14,USI Consulting - S&A - HS&I - Converge Consumer - Data Scientist,Deloitte,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=114&ao=1136043&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&cs=1_236f5896&cb=1650272482477&jobListingId=1007780274503&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-7d2d0ddeceb13c3b-
15,Machine Learning Intern,Avcreations.net.in,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=115&ao=1136043&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_be14fbb3&cb=1650272482478&jobListingId=1007782012122&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-bd4f8fad41068de6-
16,Data scientist,McAfee Enterprise,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=116&ao=1136043&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&cs=1_9fdfdc33&cb=1650272482478&jobListingId=1007783462810&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-b087d3f20606983d-
17,Data Scientist,CredAvenue,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=117&ao=1136043&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&cs=1_80af75b3&cb=1650272482478&jobListingId=1007777698377&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-0c98404cd9f2af19-
18,Data Analyst 2,PayPal,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=118&ao=1136043&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&cs=1_3efdeadb&cb=1650272482478&jobListingId=1007799302974&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-6b769844d1e34387-
19,USI Consulting - S&A - HS&I - Converge Consumer - Data Science,Deloitte,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=119&ao=1136043&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&cs=1_9dab0f7f&cb=1650272482478&jobListingId=1007780274531&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-ccdbaac0fbb62a62-
20,Associate Data Scientist,Microland,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=120&ao=1136043&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&cs=1_0c35de59&cb=1650272482478&jobListingId=1007767706365&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-04490120958fd0bd-
21,Data Scientist,Mercedes-Benz Research and Development India Private Limited,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=121&ao=1136043&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&cs=1_0c13c83f&cb=1650272482479&jobListingId=1007717394308&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-1cacf5eb350c3108-
22,Data Scientist,HEAPS Health,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=122&ao=1136043&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&cs=1_3151a2e4&cb=1650272482479&jobListingId=1007784909991&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-de46d0e606db6b35-
23,Data Scientist,OMS Software Solutions India Pvt Lltd,Coimbatore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=123&ao=1136043&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b2ab4681&cb=1650272482479&jobListingId=1007681005870&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-63ee0b0eb1d9e6d3-
24,Data Scientist Logistics,GO-JEK,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=124&ao=1136043&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&cs=1_95c4bc75&cb=1650272482479&jobListingId=1007791583455&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-e7e85605329f2403-
25,Data Scientist - Digital Banking,"JPMorgan Chase Bank, N.A.",Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=125&ao=1136043&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&cs=1_8c0ba1b9&cb=1650272482479&jobListingId=1007776339972&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-6bff6ed49ecbfc5f-
26,Data Scientist,DealShare.IN,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=126&ao=1136043&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&cs=1_d9ca77df&cb=1650272482480&jobListingId=1007783631144&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-0ab7c0989ca23cc9-
27,Data Scientist,Apptio,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=127&ao=1136043&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&cs=1_45ea1f0f&cb=1650272482480&jobListingId=1007785369374&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-c3607358abbeef15-
28,Data Scientist,IBM,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=128&ao=1136043&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&cs=1_8085f410&cb=1650272482480&jobListingId=1007789998764&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-c07896dfef3ede0a-
29,Analytics Data Scientist,IBM,Mumbai,https://www.glassdoor.co.in/partner/jobListing.htm?pos=129&ao=1136043&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&cs=1_5c7f2127&cb=1650272482480&jobListingId=1007793191187&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-b62dff4ef2be4af4-
30,Data Scientist - All Levels,Greenizon Agritech Consultancy,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=130&ao=1136043&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&cs=1_4f31ade7&cb=1650272482480&jobListingId=1007676063791&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-bc941afdbf2c6ed6-
